category	source_file	line	code_span
angle-placeholder	.github/agents/copilot-suggestions-handler.agent.md	14	docs/pr-reviews/pr-<PR_NUMBER>-review.md
rust-source-example	.github/agents/implementer.agent.md	156	src/bar.rs
angle-placeholder	.github/prompts/process-copilot-suggestions.prompt.md	18	docs/pr-reviews/pr-<PR_NUMBER>-review.md
directory-reference	.github/skills/dev/maintenance/catalog-security-vulnerabilities/SKILL.md	68	docs/security/analysis/affecting/
glob-pattern	.github/skills/dev/maintenance/run-manual-docker-security-scan/SKILL.md	31	docs/security/analysis/production/CVE-*.md
angle-placeholder	.github/skills/dev/maintenance/run-manual-docker-security-scan/SKILL.md	75	docs/security/analysis/production/CVE-<id>.md
angle-placeholder	.github/skills/dev/maintenance/run-manual-docker-security-scan/SKILL.md	76	docs/security/analysis/build/CVE-<id>.md
glob-pattern	.github/skills/dev/maintenance/update-github-workflow-actions/SKILL.md	68	.github/workflows/*.yaml
ellipsis-placeholder	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	160	docs/issues/open/...
ellipsis-placeholder	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	160	docs/issues/closed/...
ellipsis-placeholder	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	177	docs/issues/open/...
ellipsis-placeholder	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	179	docs/issues/closed/...
angle-placeholder	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	220	docs/issues/open/<epic-slug>/EPIC.md
ellipsis-placeholder	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	221	docs/issues/open/...
historical-open-issue-reference	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	262	docs/issues/open/\
other-missing-literal	.github/skills/dev/planning/cleanup-completed-issues/SKILL.md	262	docs/issues/closed/\
angle-placeholder	.github/skills/dev/planning/create-adr/SKILL.md	75	packages/<package>/docs/adrs/
angle-placeholder	.github/skills/dev/planning/create-issue/SKILL.md	184	packages/<package>/docs/adrs/
brace-placeholder	.github/skills/dev/planning/create-issue/SKILL.md	248	docs/issues/open/{number}-{short-description}/ISSUE.md
angle-placeholder	.github/skills/dev/pr-reviews/process-copilot-suggestions/SKILL.md	19	docs/pr-reviews/pr-<PR_NUMBER>-review.md
angle-placeholder	.github/skills/dev/pr-reviews/process-pr-review-feedback/SKILL.md	19	docs/pr-reviews/pr-<PR_NUMBER>-review.md
angle-placeholder	.github/skills/dev/pr-reviews/process-pr-review/SKILL.md	19	docs/pr-reviews/pr-<PR_NUMBER>-review.md
rust-source-example	.github/skills/dev/testing/manual-http-download-completion-e2e/SKILL.md	21	src/bin/qbittorrent_e2e_runner.rs
rust-source-example	.github/skills/dev/testing/manual-http-download-completion-e2e/SKILL.md	307	src/bin/qbittorrent_e2e_runner.rs
rust-source-example	.github/skills/dev/testing/manual-udp-download-completion-e2e/SKILL.md	207	src/bin/qbittorrent_e2e_runner.rs
retired-workflow-or-experiment	contrib/dev-tools/experiments/sccache-docker/04-gha-workflow-experiments/REPORT.md	14	.github/workflows/experiment-sccache-bare-build.yaml
retired-workflow-or-experiment	contrib/dev-tools/experiments/sccache-docker/04-gha-workflow-experiments/REPORT.md	15	.github/workflows/experiment-sccache-docker.yaml
dated-template	docs/AGENTS.md	49	docs/adrs/YYYYMMDDHHMMSS_snake_case_title.md
angle-placeholder	docs/AGENTS.md	50	packages/<package>/docs/adrs/YYYYMMDDHHMMSS_snake_case_title.md
angle-placeholder	docs/AGENTS.md	51	docs/issues/drafts/<short-slug>/ISSUE.md
angle-placeholder	docs/AGENTS.md	52	docs/issues/open/<number>-<short-slug>.md
angle-placeholder	docs/AGENTS.md	52	docs/issues/open/<number>-<short-slug>/ISSUE.md
angle-placeholder	docs/AGENTS.md	54	docs/refactor-plans/open/<number>-<short-slug>.md
retired-source-path	docs/adrs/20240227164834_use_plural_for_modules_containing_collections.md	38	src/servers
retired-source-path	docs/adrs/20240227164834_use_plural_for_modules_containing_collections.md	39	src/servers/http/v1/requests
retired-source-path	docs/adrs/20240227164834_use_plural_for_modules_containing_collections.md	40	src/servers/http/v1/responses
retired-source-path	docs/adrs/20240227164834_use_plural_for_modules_containing_collections.md	41	src/servers/http/v1/services
historical-open-issue-reference	docs/adrs/20260519000000_define_global_cli_output_contract.md	202	docs/issues/open/1798-global-cli-output-contract-adr.md
security-analysis-path	docs/adrs/20260603000000_keep_unit_tests_inside_container_build.md	82	docs/security/analysis/non-affecting/2026-06-10_containerfile-trixie-cves.md
historical-open-issue-reference	docs/adrs/20260716000000_accept_only_ip_addresses_in_http_announce_ip_param.md	15	docs/issues/open/1985-rename-peer-addr-to-ip-in-http-announce-request/ISSUE.md
